index,code,state,Food,Lodging,Entertainment,Days,Parks,Miles Driven,Total cost
1,AL,Alabama,0,0,0,0,0,0,0
2,AK,Alaska,0,0,0,0,0,0,0
3,AZ,Arizona,0,0,0,0,0,0,0
4,AR,Arkansas,0,0,0,0,0,0,0
5,CA, California,100,200,0,3,2,300,300
6,CO,Colorado,50,0,100,3,1,400,150
7,CT,Connecticut,0,0,0,0,0,0,0
8,DE,Delaware,0,0,0,0,0,0,0
9,FL,Florida,0,0,0,0,0,0,0
10,GA,Georgia,0,0,0,0,0,0,0
11,HI,Hawaii,0,0,0,0,0,0,0
12,ID,Idaho,0,0,0,0,0,0,0
13,IL,Illinois,300,200,200,2,0,0,700
14,IN,Indiana,0,0,0,0,0,0,0
15,IA,Iowa,0,0,0,0,0,0,0
16,KS,Kansas,0,0,0,0,0,0,0
17,KY,Kentucky,0,0,0,0,0,0,0
18,LA,Louisiana,0,0,0,0,0,0,0
19,ME,Maine,500,800,200,8,1,200,1500
20,MD,Maryland,0,0,0,0,0,0,0
21,MA,Massachusetts,0,0,0,0,0,0,0
22,MI,Michigan,0,0,0,0,0,0,0
23,MN,Minnesota,0,0,0,0,0,0,0
24,MS,Mississippi,0,0,0,0,0,0,0
25,MO,Missouri,0,0,0,0,0,0,0
26,MT,Montana,50,70,0,4,1,0,120
27,NE,Nebraska,0,0,0,0,0,0,0
28,NV,Nevada,0,0,0,0,0,0,0
29,NH,New Hampshire,0,0,0,0,0,0,0
30,NJ,New Jersey,0,0,0,0,0,0,0
31,NM,New Mexico,0,0,0,0,0,0,0
32,NY,New York,0,0,0,0,0,0,0
33,NC,North Carolina,0,0,0,0,0,0,0
34,ND,North Dakota,0,0,0,0,0,0,0
35,OH,Ohio,0,0,0,0,0,0,0
36,OK,Oklahoma,0,0,0,0,0,0,0
37,OR,Oregon,300,400,100,8,0,500,800
38,PA,Pennsylvania,0,0,0,0,0,0,0
39,RI,Rhode Island,0,0,0,0,0,0,0
40,SC,South Carolina,0,0,0,0,0,0,0
41,SD,South Dakota,0,0,0,0,0,0,0
42,TN,Tennessee,0,0,0,0,0,0,0
43,TX,Texas,0,0,0,0,0,0,0
44,UT,Utah,100,50,50,3,1,0,200
45,VT,Vermont,0,0,0,0,0,0,0
46,VA,Virginia,0,0,0,0,0,0,0
47,WA,Washington,0,0,0,0,0,0,0
48,WV,West Virginia,0,0,0,0,0,0,0
49,WI,Wisconsin,0,0,0,0,0,0,0
50,WY,Wyoming,100,100,50,4,1,0,250
